plot_id,country_iso3,plot_shape,plot_area,latitude_of_centre,longitude_of_centre,census_date
MAR_166,MOZ,circle,0.125663706143592,-13.298631,37.422888,2015
MAR_167,MOZ,circle,0.125663706143592,-13.296861,37.589284,2015
MAR_168,MOZ,circle,0.125663706143592,-13.294501,37.422914,2015
MAR_169,MOZ,circle,0.125663706143592,-13.290784,37.494925,2015
MAR_170,MOZ,circle,0.125663706143592,-13.28868,37.58107,2015
MAR_172,MOZ,circle,0.125663706143592,-13.285059,37.581218,2015
MAR_173,MOZ,circle,0.125663706143592,-13.280933,37.431365,2015
MAR_174,MOZ,circle,0.125663706143592,-13.279898,37.404974,2015
MAR_175,MOZ,circle,0.125663706143592,-13.280033,37.617903,2015
MAR_176,MOZ,circle,0.125663706143592,-13.279047,37.482755,2015
MAR_177,MOZ,circle,0.125663706143592,-13.278265,37.465861,2015
MAR_178,MOZ,circle,0.125663706143592,-13.278555,37.602184,2015
MAR_179,MOZ,circle,0.125663706143592,-13.27707,37.41618,2015
MAR_180,MOZ,circle,0.125663706143592,-13.276594,37.395839,2015
MAR_181,MOZ,circle,0.125663706143592,-13.276321,37.404995,2015
MAR_182,MOZ,circle,0.125663706143592,-13.276419,37.618025,2015
MAR_183,MOZ,circle,0.125663706143592,-13.27562,37.482543,2015
MAR_184,MOZ,circle,0.125663706143592,-13.273508,37.416186,2015
MAR_185,MOZ,circle,0.125663706143592,-13.273043,37.395849,2015
MAR_186,MOZ,circle,0.125663706143592,-13.27374,37.584478,2015
MAR_187,MOZ,circle,0.125663706143592,-13.27097,37.570814,2015
MAR_188,MOZ,circle,0.125663706143592,-13.270022,37.426559,2015
MAR_189,MOZ,circle,0.125663706143592,-13.270092,37.584611,2015
MAR_190,MOZ,circle,0.125663706143592,-13.266886,37.45683,2015
MAR_191,MOZ,circle,0.125663706143592,-13.267368,37.570944,2015
MAR_192,MOZ,circle,0.125663706143592,-13.266492,37.426586,2015
MAR_193,MOZ,circle,0.125663706143592,-13.263852,37.401133,2015
MAR_194,MOZ,circle,0.125663706143592,-13.263696,37.471815,2015
MAR_195,MOZ,circle,0.125663706143592,-13.263287,37.456614,2015
MAR_196,MOZ,circle,0.125663706143592,-13.262216,37.383487,2015
MAR_197,MOZ,circle,0.125663706143592,-13.262649,37.527497,2015
MAR_198,MOZ,circle,0.125663706143592,-13.262528,37.535263,2015
MAR_199,MOZ,circle,0.125663706143592,-13.261784,37.574034,2015
MAR_200,MOZ,circle,0.125663706143592,-13.26028,37.401155,2015
MAR_201,MOZ,circle,0.125663706143592,-13.260103,37.47151,2015
MAR_202,MOZ,circle,0.125663706143592,-13.258676,37.38349,2015
MAR_203,MOZ,circle,0.125663706143592,-13.259012,37.53517,2015
