system:index,bd_mean_0_20,bd_mean_20_50,bd_stdev_0_20,bd_stdev_20_50,calcium_extractable_mean_0_20,calcium_extractable_mean_20_50,calcium_extractable_stdev_0_20,calcium_extractable_stdev_20_50,cec_mean_0_20,cec_mean_20_50,cec_stdev_0_20,cec_stdev_20_50,clay_mean_0_20,clay_mean_20_50,clay_stdev_0_20,clay_stdev_20_50,iron_extractable_mean_0_20,iron_extractable_mean_20_50,iron_extractable_stdev_0_20,iron_extractable_stdev_20_50,magnesium_extractable_mean_0_20,magnesium_extractable_mean_20_50,magnesium_extractable_stdev_0_20,magnesium_extractable_stdev_20_50,nitrogen_total_mean_0_20,nitrogen_total_mean_20_50,nitrogen_total_stdev_0_20,nitrogen_total_stdev_20_50,ph_mean_0_20,ph_mean_20_50,ph_stdev_0_20,ph_stdev_20_50,phosphorus_extractable_mean_0_20,phosphorus_extractable_mean_20_50,phosphorus_extractable_stdev_0_20,phosphorus_extractable_stdev_20_50,plot_id,potassium_extractable_mean_0_20,potassium_extractable_mean_20_50,potassium_extractable_stdev_0_20,potassium_extractable_stdev_20_50,sand_mean_0_20,sand_mean_20_50,sand_stdev_0_20,sand_stdev_20_50,silt_mean_0_20,silt_mean_20_50,silt_stdev_0_20,silt_stdev_20_50,soc_mean_0_20,soc_mean_20_50,soc_stdev_0_20,soc_stdev_20_50,sulfur_extractable_mean_0_20,sulfur_extractable_mean_20_50,sulfur_extractable_stdev_0_20,sulfur_extractable_stdev_20_50,zinc_extractable_mean_0_20,zinc_extractable_mean_20_50,zinc_extractable_stdev_0_20,zinc_extractable_stdev_20_50,.geo
00000000000000000023_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_41,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_42,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_43,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_44,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_45,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_46,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_47,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0_0,139,140,4,3,65,64,1,1,25,25,1,0,22,27,3,2,43,33,4,4,52,53,1,1,67,52,7,6,58,58,1,1,24,22,1,0,MAR_48,45,44,2,2,59,55,3,4,13,13,2,2,23,19,1,1,13,10,3,6,9,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0_0,139,140,4,3,65,64,1,1,25,25,1,0,22,27,3,2,43,33,4,4,52,53,1,1,67,52,7,6,58,58,1,1,24,22,1,0,MAR_49,45,44,2,2,59,55,3,4,13,13,2,2,23,19,1,1,13,10,3,6,9,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_50,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
