system:index,fire_frequency,plot_id,.geo
000000000000000000f9_0_0,0,MAR_278,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_0_0,0,MAR_279,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0_0,0,MAR_280,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0_0,0,MAR_281,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_0_0,0,MAR_282,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_0_0,0,MAR_283,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_0_0,0,MAR_288,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_0_0,0,MAR_289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_0_0,0,MAR_290,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_0_0,4,MAR_291,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103_0_0,4,MAR_292,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104_0_0,4,MAR_293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105_0_0,0,MAR_294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106_0_0,0,MAR_295,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107_0_0,4,MAR_296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108_0_0,4,MAR_297,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109_0_0,0,MAR_298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a_0_0,0,MAR_299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b_0_0,0,MAR_301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c_0_0,0,MAR_302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d_0_0,0,MAR_303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e_0_0,0,MAR_305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f_0_0,4,MAR_306,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0_0,0,MAR_307,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000111_0_0,3,MAR_309,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112_0_0,3,MAR_310,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113_0_0,3,MAR_311,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114_0_0,3,MAR_312,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115_0_0,0,MAR_314,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116_0_0,0,MAR_315,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_0_0,0,MAR_316,"{""type"":""MultiPoint"",""coordinates"":[]}"
