plot_id,UMAP1,UMAP2,UMAP3,perturbation,singularity,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,lineage2,lineage3,lineage4,lineage5,lineage6,lineage7,lineage8
MAR_185,-0.13557804,1.2464795,1.6609281,1.2666666666666666,0.06666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_186,-0.66436154,0.6389312,-0.033006925,0.4,0.5333333333333333,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_187,1.0980783,3.8895707,1.6494404,0.4666666666666667,0.8,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_188,0.439038,2.848045,2.4471219,0.8,0.4,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_189,0.28656086,1.1456561,2.557212,0.4666666666666667,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_19,0.83883667,1.4152685,1.3695451,0.26666666666666666,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_190,0.8804181,2.0305572,1.708846,0.2,0.4666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_191,0.41512975,2.568288,1.1846963,0.8,0.06666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_192,0.54056567,2.9236257,1.40816,0.6,0.7333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_193,0.5624329,3.2354634,1.121519,0.5333333333333333,0.8666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_194,1.2219409,3.6722765,1.1831234,0.06666666666666667,1.6,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_195,0.29221538,2.94896,1.7995993,1.4666666666666666,0.6666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_196,0.047212977,3.0295107,1.6198264,0.9333333333333333,0.2,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_197,0.9610586,3.1328752,2.1335533,0.7333333333333333,0.5333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_198,1.2946702,2.2254558,1.3454968,0.6,0.26666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_199,0.84018713,2.0483358,1.7023045,0.6,0.2,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_2,-0.042644467,1.3486435,0.86215734,1.0666666666666667,0.26666666666666666,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_200,1.0229878,3.553571,1.6704096,0.3333333333333333,1.6666666666666667,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
